Var1,ROILabel,ROIName,R,A,S
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster048,48,7Networks_LH_Default_PFC_7,-26,20,52
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster049,49,7Networks_LH_Default_pCunPCC_1,-12,-56,12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster050,50,7Networks_LH_Default_pCunPCC_2,-6,-52,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster051,51,7Networks_RH_Vis_1,32,-32,-22
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster052,52,7Networks_RH_Vis_2,28,-66,-12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster053,53,7Networks_RH_Vis_3,50,-60,-10
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster054,54,7Networks_RH_Vis_4,22,-96,-4
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster055,55,7Networks_RH_Vis_5,8,-76,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster056,56,7Networks_RH_Vis_6,18,-58,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster057,57,7Networks_RH_Vis_7,36,-82,16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster058,58,7Networks_RH_Vis_8,12,-86,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster059,59,7Networks_RH_SomMot_1,52,-16,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster060,60,7Networks_RH_SomMot_2,40,-16,16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster061,61,7Networks_RH_SomMot_3,56,-4,12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster062,62,7Networks_RH_SomMot_4,58,-6,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster063,63,7Networks_RH_SomMot_5,46,-12,48
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster064,64,7Networks_RH_SomMot_6,40,-22,60
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster065,65,7Networks_RH_SomMot_7,30,-38,64
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster066,66,7Networks_RH_SomMot_8,6,-28,70
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster067,67,7Networks_RH_DorsAttn_Post_1,50,-62,16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster068,68,7Networks_RH_DorsAttn_Post_2,50,-24,42
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster069,69,7Networks_RH_DorsAttn_Post_3,38,-46,50
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster070,70,7Networks_RH_DorsAttn_Post_4,26,-66,52
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster071,71,7Networks_RH_DorsAttn_Post_5,14,-52,66
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster072,72,7Networks_RH_DorsAttn_PrCv_1,48,10,26
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster073,73,7Networks_RH_DorsAttn_FEF_1,28,-2,60
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster074,74,7Networks_RH_SalVentAttn_TempOccPar_1,58,-42,12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster075,75,7Networks_RH_SalVentAttn_TempOccPar_2,60,-26,28
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster076,76,7Networks_RH_SalVentAttn_FrOperIns_1,40,8,2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster077,77,7Networks_RH_SalVentAttn_Med_1,12,-32,46
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster078,78,7Networks_RH_SalVentAttn_Med_2,8,6,52
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster079,79,7Networks_RH_Limbic_OFC_1,12,34,-20
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster080,80,7Networks_RH_Limbic_TempPole_1,38,0,-38
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster081,81,7Networks_RH_Cont_Par_1,58,-38,44
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster082,82,7Networks_RH_Cont_Par_2,46,-62,46
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster083,83,7Networks_RH_Cont_PFCl_1,30,58,-2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster084,84,7Networks_RH_Cont_PFCl_2,46,38,16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster085,85,7Networks_RH_Cont_PFCl_3,32,46,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster086,86,7Networks_RH_Cont_PFCl_4,44,16,44
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster087,87,7Networks_RH_Cont_Cing_1,6,-28,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster088,88,7Networks_RH_Cont_PFCmp_1,6,28,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster089,89,7Networks_RH_Cont_pCun_1,10,-66,42
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster090,90,7Networks_RH_Default_Par_1,54,-50,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster091,91,7Networks_RH_Default_Temp_1,62,-24,-18
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster092,92,7Networks_RH_Default_Temp_2,50,6,-18
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster093,93,7Networks_RH_Default_Temp_3,58,-26,-2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster094,94,7Networks_RH_Default_PFCv_1,36,26,-16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster095,95,7Networks_RH_Default_PFCv_2,50,28,0
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster096,96,7Networks_RH_Default_PFCdPFCm_1,6,48,0
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster097,97,7Networks_RH_Default_PFCdPFCm_2,12,50,40
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster098,98,7Networks_RH_Default_PFCdPFCm_3,26,24,50
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster099,99,7Networks_RH_Default_pCunPCC_1,12,-54,14
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster100,100,7Networks_RH_Default_pCunPCC_2,6,-52,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster001,1,7Networks_LH_Vis_1,-32,-42,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster002,2,7Networks_LH_Vis_2,-30,-32,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster003,3,7Networks_LH_Vis_3,-36,-62,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster004,4,7Networks_LH_Vis_4,-24,-54,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster005,5,7Networks_LH_Vis_5,-24,-72,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster006,6,7Networks_LH_Vis_6,-36,-82,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster007,7,7Networks_LH_Vis_7,-18,-38,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster008,8,7Networks_LH_Vis_8,-46,-70,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster009,9,7Networks_LH_Vis_9,-16,-86,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster010,10,7Networks_LH_Vis_10,-12,-62,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster011,11,7Networks_LH_Vis_11,-6,-76,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster012,12,7Networks_LH_Vis_12,-24,-96,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster013,13,7Networks_LH_Vis_13,-14,-44,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster014,14,7Networks_LH_Vis_14,-42,-86,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster015,15,7Networks_LH_Vis_15,-8,-98,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster016,16,7Networks_LH_Vis_16,-14,-56,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster017,17,7Networks_LH_Vis_17,-46,-74,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster018,18,7Networks_LH_Vis_18,-4,-88,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster019,19,7Networks_LH_Vis_19,-24,-96,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster020,20,7Networks_LH_Vis_20,-14,-48,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster021,21,7Networks_LH_Vis_21,-8,-74,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster022,22,7Networks_LH_Vis_22,-18,-64,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster023,23,7Networks_LH_Vis_23,-40,-84,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster024,24,7Networks_LH_Vis_24,-10,-96,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster025,25,7Networks_LH_Vis_25,-2,-84,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster026,26,7Networks_LH_Vis_26,-12,-72,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster027,27,7Networks_LH_Vis_27,-26,-84,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster028,28,7Networks_LH_Vis_28,-32,-84,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster029,29,7Networks_LH_Vis_29,-16,-88,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster030,30,7Networks_LH_Vis_30,-12,-82,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster031,31,7Networks_LH_Vis_31,-22,-78,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster032,32,7Networks_LH_SomMot_1,-50,-10,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster033,33,7Networks_LH_SomMot_2,-56,-22,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster034,34,7Networks_LH_SomMot_3,-36,-24,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster035,35,7Networks_LH_SomMot_4,-38,-8,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster036,36,7Networks_LH_SomMot_5,-36,-26,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster037,37,7Networks_LH_SomMot_6,-58,-36,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster038,38,7Networks_LH_SomMot_7,-40,-36,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster039,39,7Networks_LH_SomMot_8,-48,-12,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster040,40,7Networks_LH_SomMot_9,-60,-2,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster041,41,7Networks_LH_SomMot_10,-48,-24,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster042,42,7Networks_LH_SomMot_11,-62,-18,20
